Execução    Período (ms)     Jitter (ms)
     290          30.078           0.078
     291          30.074           0.074
     292          30.082           0.082
     293          30.084           0.084
     294          30.080           0.080
     295          31.469           1.469
     296          30.087           0.087
     297          30.077           0.077
     298          30.075           0.075
     299          30.142           0.142
     300          30.079           0.079
     301          30.374           0.374
     302          30.081           0.081
     303          30.072           0.072
     304          30.078           0.078
     305          31.095           1.095
     306          31.246           1.246
     307          30.900           0.900
     308          30.087           0.087
     309          30.083           0.083
     310          30.079           0.079
     311          30.125           0.125
     312          30.081           0.081
     313          30.077           0.077
     314          30.082           0.082
     315          30.056           0.056
     316          30.077           0.077
     317          30.076           0.076
     318          30.075           0.075
     319          30.078           0.078
     320          34.710           4.710
     321          30.095           0.095
     322          30.091           0.091
     323          30.095           0.095
     324          30.108           0.108
     325          30.111           0.111
     326          30.082           0.082
     327          30.078           0.078
     328          30.078           0.078
     329          30.100           0.100
     330          30.115           0.115
     331          30.112           0.112
     332          30.084           0.084
     333          30.099           0.099
     334          30.094           0.094
     335          30.122           0.122
     336          30.096           0.096
     337          30.080           0.080
     338          30.074           0.074
     339          30.089           0.089
     340          30.087           0.087
     341          30.089           0.089
     342          30.080           0.080
     343          30.088           0.088
     344          30.576           0.576
     345          31.902           1.902
     346          30.177           0.177
     347          30.087           0.087
     348          30.087           0.087
     349          30.082           0.082
     350          30.083           0.083
     351          30.078           0.078
     352          30.759           0.759
     353          30.075           0.075
     354          30.070           0.070
     355          30.078           0.078
     356          30.080           0.080
     357          30.085           0.085
     358          30.079           0.079
     359          30.077           0.077
     360          30.081           0.081
     361          30.077           0.077
     362          30.079           0.079
     363          30.078           0.078
     364          30.075           0.075
     365          30.112           0.112
     366          30.101           0.101
     367          30.078           0.078
     368          30.076           0.076
     369          30.074           0.074
     370          30.075           0.075
     371          30.077           0.077
     372          30.077           0.077
     373          30.135           0.135
     374          30.087           0.087
     375          32.809           2.809
     376          30.082           0.082
     377          30.085           0.085
     378          30.099           0.099
     379          30.093           0.093
     380          32.300           2.300
     381          30.084           0.084
     382          30.080           0.080
     383          30.079           0.079
     384          30.083           0.083
     385          32.424           2.424
     386          30.082           0.082
     387          30.080           0.080
     388          32.798           2.798
     389          30.079           0.079
     390          30.077           0.077
     391          30.307           0.307
     392          30.085           0.085
     393          30.080           0.080
     394          30.384           0.384
     395          30.743           0.743
     396          30.116           0.116
     397          30.090           0.090
     398          32.040           2.040
     399          30.082           0.082
     400          30.089           0.089
     401          30.092           0.092
     402          30.325           0.325
     403          30.088           0.088
     404          30.334           0.334
     405          30.102           0.102
     406          30.103           0.103
     407          30.092           0.092
     408          30.105           0.105
     409          30.082           0.082
     410          30.077           0.077
     411          30.610           0.610
     412          30.086           0.086
     413          30.080           0.080
     414          30.081           0.081
     415          30.792           0.792
     416          30.101           0.101
     417          31.528           1.528
     418          30.328           0.328
     419          30.082           0.082
     420          30.081           0.081
     421          30.082           0.082
     422          30.073           0.073
     423          30.082           0.082
     424          30.080           0.080
     425          30.082           0.082
     426          30.080           0.080
     427          30.076           0.076
     428          30.082           0.082
     429          30.090           0.090
     430          31.315           1.315
     431          30.083           0.083
     432          30.085           0.085
     433          30.083           0.083
     434          30.083           0.083
     435          30.078           0.078
     436          30.080           0.080
     437          30.082           0.082
     438          30.113           0.113
     439          30.084           0.084
     440          30.081           0.081
     441          30.105           0.105
     442          30.075           0.075
     443          30.545           0.545
     444          30.345           0.345
     445          30.081           0.081
     446          31.608           1.608
     447          30.055           0.055
     448          30.085           0.085
     449          30.087           0.087
     450          30.080           0.080
     451          30.075           0.075
     452          30.081           0.081
     453          30.079           0.079
     454          30.106           0.106
     455          30.082           0.082
     456          30.080           0.080
     457          30.078           0.078
     458          30.073           0.073
     459          30.047           0.047
     460          30.078           0.078
     461          30.078           0.078
     462          30.078           0.078
     463          30.086           0.086
     464          30.099           0.099
     465          30.082           0.082
     466          30.091           0.091
     467          30.087           0.087
     468          30.078           0.078
     469          30.108           0.108
     470          30.105           0.105
     471          30.094           0.094
     472          30.082           0.082
     473          30.076           0.076
     474          30.088           0.088
     475          30.086           0.086
     476          30.086           0.086
     477          30.516           0.516
     478          34.002           4.002
     479          30.080           0.080
     480          30.087           0.087
     481          31.101           1.101
     482          32.996           2.996
     483          30.376           0.376
     484          30.082           0.082
     485          31.273           1.273
     486          30.076           0.076
     487          30.085           0.085
     488          32.920           2.920
     489          30.093           0.093
     490          30.076           0.076
     491          32.769           2.769
     492          30.080           0.080
     493          30.083           0.083
     494          30.082           0.082
     495          30.083           0.083
     496          30.081           0.081
     497          30.079           0.079
     498          30.078           0.078
     499          30.082           0.082
     500          30.079           0.079
     501          30.265           0.265
     502          30.080           0.080
     503          30.256           0.256
     504          30.075           0.075
     505          30.080           0.080
     506          30.073           0.073
     507          30.075           0.075
     508          30.075           0.075
     509          30.076           0.076
     510          30.076           0.076
     511          31.214           1.214
     512          30.077           0.077
     513          30.074           0.074
     514          30.079           0.079
     515          30.122           0.122
     516          30.074           0.074
     517          31.659           1.659
     518          30.099           0.099
     519          30.080           0.080
     520          31.644           1.644
     521          30.087           0.087
     522          30.078           0.078
     523          30.078           0.078
     524          30.077           0.077
     525          30.289           0.289
     526          30.079           0.079
     527          30.084           0.084
     528          30.227           0.227
     529          30.075           0.075
     530          30.074           0.074
     531          30.080           0.080
     532          30.078           0.078
     533          30.074           0.074
     534          30.073           0.073
     535          30.078           0.078
     536          30.076           0.076
     537          30.511           0.511
     538          30.550           0.550
     539          30.279           0.279
     540          30.053           0.053
     541          32.009           2.009
     542          30.077           0.077
     543          30.648           0.648
     544          30.287           0.287
     545          30.675           0.675
     546          30.079           0.079
     547          30.080           0.080
     548          30.671           0.671
     549          30.097           0.097
     550          30.092           0.092
     551          30.095           0.095
     552          30.074           0.074
     553          30.074           0.074
     554          30.048           0.048
     555          30.080           0.080
     556          30.075           0.075
     557          30.075           0.075
     558          30.102           0.102
     559          30.101           0.101
     560          30.078           0.078
     561          30.083           0.083
     562          30.083           0.083
     563          30.076           0.076
     564          30.077           0.077
     565          30.082           0.082
     566          31.095           1.095
     567          30.083           0.083
     568          30.075           0.075
     569          30.080           0.080
     570          30.080           0.080
     571          31.186           1.186
     572          30.079           0.079
     573          30.078           0.078
     574          30.076           0.076
     575          30.075           0.075
     576          30.075           0.075
     577          30.071           0.071
     578          30.032           0.032
     579          30.074           0.074
     580          30.075           0.075
     581          30.074           0.074
     582          30.076           0.076
     583          30.081           0.081
     584          30.075           0.075
     585          30.076           0.076
     586          30.115           0.115
     587          30.115           0.115
     588          30.082           0.082
     589          30.300           0.300
     590          30.080           0.080
     591          32.684           2.684
     592          30.090           0.090
     593          30.371           0.371
     594          30.078           0.078
     595          30.078           0.078
     596          30.076           0.076
     597          30.078           0.078
     598          30.224           0.224
     599          30.076           0.076
     600          30.079           0.079
     601          33.228           3.228
     602          30.078           0.078
     603          30.077           0.077
     604          30.077           0.077
     605          30.079           0.079
     606          30.076           0.076
     607          30.083           0.083
     608          31.303           1.303
     609          30.041           0.041
     610          30.078           0.078
     611          32.843           2.843
     612          30.077           0.077
     613          30.077           0.077
     614          35.710           5.710
     615          30.078           0.078
     616          30.910           0.910
     617          31.275           1.275
     618          30.078           0.078
     619          30.076           0.076
     620          30.073           0.073
     621          30.082           0.082
     622          30.086           0.086
     623          30.082           0.082
     624          30.088           0.088
     625          30.075           0.075
     626          30.084           0.084
     627          30.089           0.089
     628          30.057           0.057
     629          30.080           0.080
     630          30.073           0.073
     631          30.090           0.090
     632          30.091           0.091
     633          30.073           0.073
     634          30.081           0.081
     635          30.074           0.074
     636          30.076           0.076
     637          30.075           0.075
     638          30.076           0.076
     639          30.076           0.076
     640          30.072           0.072
     641          30.046           0.046
     642          30.073           0.073
     643          30.763           0.763
     644          31.208           1.208
     645          30.077           0.077
     646          30.078           0.078
     647          30.079           0.079
     648          30.074           0.074
     649          30.076           0.076
     650          30.074           0.074
     651          30.077           0.077
     652          30.090           0.090
     653          30.074           0.074
     654          30.079           0.079
     655          30.077           0.077
     656          30.080           0.080
     657          30.142           0.142
     658          30.077           0.077
     659          30.083           0.083
     660          30.084           0.084

Estatísticas dos Períodos:
Média: 30.305 ms
Variância: 0.000479 ms²
Desvio padrão: 0.692 ms
Máximo: 35.710 ms
Mínimo: 30.032 ms

Estatísticas do Jitter:
Média: 0.305 ms
Variância: 0.000479 ms²
Desvio padrão: 0.692 ms
Máximo: 5.710 ms
Mínimo: 0.032 ms
