Execução    Período (ms)     Jitter (ms)
     290          30.128           0.128
     291          30.316           0.316
     292          30.312           0.312
     293          30.491           0.491
     294          30.447           0.447
     295          30.327           0.327
     296          30.315           0.315
     297          30.316           0.316
     298          30.429           0.429
     299          30.306           0.306
     300          30.458           0.458
     301          30.496           0.496
     302          30.265           0.265
     303          30.388           0.388
     304          30.375           0.375
     305          30.386           0.386
     306          30.266           0.266
     307          30.380           0.380
     308          30.141           0.141
     309          30.195           0.195
     310          30.371           0.371
     311          30.205           0.205
     312          30.402           0.402
     313          30.272           0.272
     314          30.267           0.267
     315          30.274           0.274
     316          30.287           0.287
     317          30.310           0.310
     318          30.380           0.380
     319          30.321           0.321
     320          30.387           0.387
     321          30.384           0.384
     322          30.272           0.272
     323          30.282           0.282
     324          30.260           0.260
     325          30.290           0.290
     326          30.393           0.393
     327          30.292           0.292
     328          30.422           0.422
     329          30.143           0.143
     330          30.278           0.278
     331          30.384           0.384
     332          30.274           0.274
     333          30.121           0.121
     334          30.360           0.360
     335          30.271           0.271
     336          30.112           0.112
     337          30.198           0.198
     338          30.393           0.393
     339          30.396           0.396
     340          30.391           0.391
     341          30.277           0.277
     342          30.453           0.453
     343          30.418           0.418
     344          30.388           0.388
     345          30.229           0.229
     346          30.326           0.326
     347          30.145           0.145
     348          30.470           0.470
     349          30.429           0.429
     350          30.452           0.452
     351          30.324           0.324
     352          30.312           0.312
     353          30.419           0.419
     354          30.462           0.462
     355          30.349           0.349
     356          30.221           0.221
     357          30.185           0.185
     358          30.301           0.301
     359          30.340           0.340
     360          30.453           0.453
     361          30.391           0.391
     362          30.426           0.426
     363          30.310           0.310
     364          30.437           0.437
     365          30.418           0.418
     366          30.329           0.329
     367          30.309           0.309
     368          30.321           0.321
     369          30.282           0.282
     370          30.424           0.424
     371          30.441           0.441
     372          30.546           0.546
     373          30.336           0.336
     374          30.303           0.303
     375          30.299           0.299
     376          30.429           0.429
     377          30.424           0.424
     378          30.426           0.426
     379          30.430           0.430
     380          30.327           0.327
     381          30.337           0.337
     382          30.303           0.303
     383          30.279           0.279
     384          30.267           0.267
     385          30.340           0.340
     386          30.367           0.367
     387          30.563           0.563
     388          30.305           0.305
     389          30.312           0.312
     390          30.199           0.199
     391          30.268           0.268
     392          30.353           0.353
     393          30.399           0.399
     394          30.392           0.392
     395          30.387           0.387
     396          30.415           0.415
     397          30.293           0.293
     398          30.354           0.354
     399          30.231           0.231
     400          30.109           0.109
     401          30.390           0.390
     402          30.275           0.275
     403          30.426           0.426
     404          30.260           0.260
     405          30.393           0.393
     406          30.272           0.272
     407          30.178           0.178
     408          30.259           0.259
     409          30.127           0.127
     410          30.201           0.201
     411          30.392           0.392
     412          30.233           0.233
     413          30.267           0.267
     414          30.266           0.266
     415          30.284           0.284
     416          30.269           0.269
     417          30.385           0.385
     418          30.263           0.263
     419          30.289           0.289
     420          30.292           0.292
     421          30.275           0.275
     422          30.109           0.109
